2026-02-13T16:49:00.462+05:30 DEBUG 14028 --- [http-nio-5002-exec-10] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:05.482+05:30 DEBUG 14028 --- [http-nio-5002-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /socket.io/?EIO=4&transport=polling&t=soq2qktl
2026-02-13T16:49:05.486+05:30 DEBUG 14028 --- [http-nio-5002-exec-3] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:05.489+05:30 DEBUG 14028 --- [http-nio-5002-exec-3] o.s.s.w.a.Http403ForbiddenEntryPoint     : Pre-authenticated entry point called. Rejecting access
2026-02-13T16:49:05.492+05:30 DEBUG 14028 --- [http-nio-5002-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /error?EIO=4&transport=polling&t=soq2qktl
2026-02-13T16:49:05.495+05:30 DEBUG 14028 --- [http-nio-5002-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /error?EIO=4&transport=polling&t=soq2qktl
2026-02-13T16:49:05.548+05:30 DEBUG 14028 --- [http-nio-5002-exec-3] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:10.569+05:30 DEBUG 14028 --- [http-nio-5002-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /socket.io/?EIO=4&transport=polling&t=sotzw0ho
2026-02-13T16:49:10.573+05:30 DEBUG 14028 --- [http-nio-5002-exec-9] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:10.575+05:30 DEBUG 14028 --- [http-nio-5002-exec-9] o.s.s.w.a.Http403ForbiddenEntryPoint     : Pre-authenticated entry point called. Rejecting access
2026-02-13T16:49:10.580+05:30 DEBUG 14028 --- [http-nio-5002-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /error?EIO=4&transport=polling&t=sotzw0ho
2026-02-13T16:49:10.583+05:30 DEBUG 14028 --- [http-nio-5002-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /error?EIO=4&transport=polling&t=sotzw0ho
2026-02-13T16:49:10.593+05:30 DEBUG 14028 --- [http-nio-5002-exec-9] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:16.453+05:30 DEBUG 14028 --- [http-nio-5002-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /socket.io/?EIO=4&transport=polling&t=soyjj86o
2026-02-13T16:49:16.454+05:30 DEBUG 14028 --- [http-nio-5002-exec-6] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:16.454+05:30 DEBUG 14028 --- [http-nio-5002-exec-6] o.s.s.w.a.Http403ForbiddenEntryPoint     : Pre-authenticated entry point called. Rejecting access
2026-02-13T16:49:16.455+05:30 DEBUG 14028 --- [http-nio-5002-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /error?EIO=4&transport=polling&t=soyjj86o
2026-02-13T16:49:16.455+05:30 DEBUG 14028 --- [http-nio-5002-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /error?EIO=4&transport=polling&t=soyjj86o
2026-02-13T16:49:16.458+05:30 DEBUG 14028 --- [http-nio-5002-exec-6] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:21.486+05:30 DEBUG 14028 --- [http-nio-5002-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /socket.io/?EIO=4&transport=polling&t=sp2f4jti
2026-02-13T16:49:21.488+05:30 DEBUG 14028 --- [http-nio-5002-exec-4] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:21.490+05:30 DEBUG 14028 --- [http-nio-5002-exec-4] o.s.s.w.a.Http403ForbiddenEntryPoint     : Pre-authenticated entry point called. Rejecting access
2026-02-13T16:49:21.491+05:30 DEBUG 14028 --- [http-nio-5002-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /error?EIO=4&transport=polling&t=sp2f4jti
